ticker,origin,monthly_reference_id,weekly_reference_id,monthly_grade,weekly_grade,monthly_formation_date,weekly_formation_date,event_date,entry_date,r5,mfe5,mae5,r10,mfe10,mae10,master_grade,signal_id,year,sample,is_exact_confluence
WGS,exact_confluence,A067,W-WGS-20250806,A,A+,2025-07-31,2025-08-01,2025-08-06,2025-08-07,0.1421282082261987,0.1431487167095204,-0.044716575321319,0.1159662296486663,0.1833194356470591,-0.044716575321319,A+,MT-193,2025,2023-2026,True
HSAI,monthly_only,A+042,,A+,,2025-08-29,,2025-09-04,2025-09-05,0.0294225531940863,0.1195292363429385,-0.0606840598058657,0.0901066129999521,0.1195292363429385,-0.0606840598058657,A+,MT-197,2025,2023-2026,False
TMC,weekly_incremental,,W-TMC-20251125,,A+,,2025-11-21,2025-11-25,2025-11-26,0.3960216089140436,0.4014466014402895,-0.0108499850524921,0.2386979466082091,0.4719710731448341,-0.0108499850524921,A+,MT-199,2025,2023-2026,False
OKLO,monthly_only,A+043,,A+,,2025-11-28,,2025-12-03,2025-12-04,0.0373272323353521,0.1784903790411776,-0.0244895846338429,-0.2169519507860801,0.1784903790411776,-0.2266446957733801,A+,MT-200,2025,2023-2026,False
AEVA,weekly_incremental,,W-AEVA-20251209,,A+,,2025-12-05,2025-12-09,2025-12-10,-0.0733641538850882,0.1454064634913872,-0.0997356122346392,-0.0812954716858637,0.1454064634913872,-0.1520158739813631,A+,MT-202,2025,2023-2026,False
VSAT,weekly_incremental,,W-VSAT-20251226,,A+,,2025-12-19,2025-12-26,2025-12-29,0.1290323085855302,0.137536734641368,-0.0014662533518438,0.1853372427456425,0.2759530870522904,-0.0014662533518438,A+,MT-204,2025,2023-2026,False
OPEN,weekly_incremental,,W-OPEN-20260224,,A+,,2026-02-20,2026-02-24,2026-02-25,-0.0330739456633839,0.0690661533647496,-0.0933852201443109,-0.0252917589456369,0.0690661533647496,-0.0933852201443109,A+,MT-209,2026,2023-2026,False
ALM,monthly_only,A+044,,A+,,2026-03-31,,2026-04-02,2026-04-06,0.1446862542743627,0.1747759613260029,-0.0115237072019567,0.499359811003973,0.5627400785053469,-0.0115237072019567,A+,MT-212,2026,2023-2026,False
LASR,monthly_only,A+045,,A+,,2026-03-31,,2026-04-02,2026-04-06,0.0830020226237584,0.1000662832082792,-0.0873094831755167,0.1668323325546361,0.1855201778270787,-0.0873094831755167,A+,MT-214,2026,2023-2026,False
ONDS,monthly_only,A+046,,A+,,2026-03-31,,2026-04-02,2026-04-06,-0.0519210793414438,0.0768431736577528,-0.0664590172084239,0.0384215868288764,0.0934579032019589,-0.0934580022335587,A+,MT-217,2026,2023-2026,False
